id;name;annot_type;category_1;category_2;category_3
1;railings being crossed by horses;pres;interaction;;
2;a horse running or jumping;pres;action;;
3;equestrian rider's helmet;pres;spatial;;
4;outdoor dog led by rope;pres;interaction;;
5;a dog being touched;pres;interaction;;
6;clothed dog;pres;attribute;;
7;basketball in hand;pres;spatial;;
8;a basketball player with both feet off the ground;pres;appearance;spatial;
9;player with basketball in the hand;pres;interaction;;
10;spoon on the plate;pres;spatial;;
11;coffee cup with coffee;pres;attribute;;
12;the nearest dessert to the coffee cup;pres;spatial;;
13;the bartender who is mixing wine;pres;action;;
14;a bartender in a suit;pres;appearance;;
15;wine glass with wine;pres;attribute;;
16;a person in aprons;pres;attribute;;
17;pot with food;pres;attribute;;
18;a knife being used to cut vegetables;pres;interaction;;
19;striped sofa in the room;pres;attribute;;
20;a sofa with pillows on it in the room;pres;attribute;spatial;
21;lights on in the room;pres;state;spatial;
22;an indoor lying pet;pres;state;spatial;
23;a cat on the sofa;pres;spatial;;
24;one pet looking directly at the camera indoors;pres;action;spatial;
25;a bed with patterns in the room;pres;attribute;spatial;
26;the lamp on the table beside the bed;pres;spatial;;
27;pillow placed at the head of the bed;pres;spatial;;
28;a blackboard full of words in the classroom;pres;attribute;spatial;
29;a blackboard or whiteboard with something pasted;pres;attribute;;
30;child sitting at desks in the classroom;pres;action;spatial;
31;a person standing in front of bookshelves in the library;pres;action;spatial;
32;the table someone is using in the library;pres;interaction;spatial;
33;a person who touches books in the library;pres;interaction;spatial;
34;a person standing in front of the cake counter;pres;action;spatial;
35;a square plate full of cakes;pres;attribute;appearance;
36;a cake decorated with cream;pres;attribute;;
37;incomplete donut;pres;attribute;state;
38;donut with colored granules on the surface;pres;attribute;;
39;chocolate donut;pres;attribute;;
40;hot dog with vegetables;pres;attribute;;
41;hot dog with sauce on the surface;pres;attribute;;
42;red sausage;pres;attribute;;
43;flowerpot with flowers potted inside;pres;attribute;spatial;
44;monochrome flowerpot;pres;attribute;;
45;a flowerpot filled with black soil;pres;attribute;;
46;apple growing on trees;pres;action;spatial;
47;red complete apple;pres;attribute;state;
48;apple with a stalk;pres;attribute;;
49;a woman brushing her teeth;pres;action;;
50;toothbrush held by someone;pres;interaction;;
51;toilet brush with colored bristles;pres;attribute;;
52;a customer whose hair is being cut by barber;pres;interaction;;
53;a barber at work;pres;action;appearance;
54;cloth covering the barber;pres;spatial;;
55;a plastic toy;pres;attribute;;
56;a plush toy;pres;attribute;;
57;a humanoid toy;pres;attribute;;
58;shopping cart pushed by people in the supermarket;pres;interaction;spatial;
59;shopping cart with people in the supermarket;pres;interaction;spatial;
60;shopping cart full of goods;pres;attribute;state;
61;a child wearing a mask;pres;appearance;;
62;a mask on face with half a face exposed;pres;appearance;spatial;
63;a mask on face with only eyes exposed;pres;appearance;spatial;
64;refrigerator with fruit;pres;attribute;state;
65;a drink bottle in the refrigerator;pres;spatial;;
66;refrigerator with more than two doors;pres;attribute;;
67;a watch placed on a table or cloth;pres;spatial;;
68;a watch with three or more watch hands can be seen;pres;attribute;;
69;a watch with one or more small dials;pres;attribute;;
70;clothes hanger;pres;object;;
71;a piece of clothing hanging on the hanger;pres;spatial;;
72;a piece of clothing worn on plastic models;pres;spatial;;
73;leather bag with glossy surface;pres;appearance;attribute;
74;backpack;pres;object;;
75;open package;pres;state;attribute;
76;a fish held by people;pres;spatial;interaction;
77;a person who is fishing with a fishing rod;pres;action;interaction;
78;a fisherman standing on the shore with his body soaked in water;pres;appearance;action;spatial
79;camera hold on someone's shoulder;pres;spatial;interaction;
80;a person being interviewed;pres;interaction;;
81;a person with microphone hold in hand;pres;interaction;spatial;
82;one open oven;pres;state;attribute;
83;food in the oven;pres;spatial;;
84;oven integrated with cabinet;pres;spatial;;
85;a mask on the face of a doctor or nurse;pres;spatial;appearance;
86;a doctor or nurse wearing green surgical clothes;pres;appearance;attribute;
87;a person wearing surgical clothes and a mask;pres;appearance;attribute;
88;a dancing woman with her knees bare;pres;action;appearance;
89;man dancing;pres;action;;
90;skirt worn by a dancer;pres;attribute;interaction;
91;a person playing guitar on stage;pres;action;spatial;
92;a microphone stand used by people;pres;interaction;;
93;guitar carried by person on stage;pres;interaction;spatial;
94;glasses on the face of a person on the stage;pres;spatial;;
95;a microphone on the stage;pres;spatial;;
96;a person standing on the stage with open mouth;pres;spatial;action;
97;aircraft on the ground;pres;spatial;state;
98;aircraft in the air;pres;spatial;state;
99;a person standing next to the plane;pres;spatial;action;
100;cable car hanging in the air;pres;spatial;state;
101;a person standing on the edge of a funicular;pres;spatial;action;
102;carriage of funicular;pres;spatial;;
103;an animal under the command of human;pres;interaction;;
104;an animal on stage;pres;spatial;;
105;a person on the stage and in the air;pres;spatial;;
106;a person who embraces another person face to face;pres;action;interaction;
107;a person holding animals;pres;interaction;action;
108;an animal holding another animal;pres;interaction;action;
109;woman in wedding dress next to a man in suit;pres;appearance;spatial;
110;man in suit next to a woman in wedding dress;pres;appearance;spatial;
111;flowers in the hands of a woman in white skirt;pres;spatial;;
112;christmas tree full of decorations;pres;appearance;attribute;
113;a person wearing santa claus clothes;pres;appearance;;
114;bag carried by santa claus on the back or in the hand;pres;spatial;interaction;
115;a pen on written paper;pres;spatial;;
116;written paper;pres;object;;
117;a person sitting with a pen in his hand;pres;action;interaction;spatial
118;a person lying on the billiard table;pres;action;spatial;
119;a billiard club held in a person's hand;pres;interaction;spatial;
120;a billiard ball touched by a billiard stick;pres;interaction;;
121;a chess board surrounded by people;pres;spatial;interaction;
122;a person around the chessboard;pres;spatial;interaction;
123;chess piece of horse head;pres;appearance;;
124;computer in front of people at the conference table;pres;spatial;;
125;a person sitting at the conference table;pres;spatial;action;
126;white conference table;pres;attribute;;
127;flower ball on the hands of cheerleaders;pres;spatial;interaction;
128;the cheerleader who was lifted;pres;interaction;;
129;a person trampled by cheerleaders;pres;interaction;;
130;a baseball bat held in the hand;pres;spatial;interaction;
131;an oversized glove worn on the left hand of a baseball player;pres;attribute;spatial;interaction
132;a baseball player ready to bat;pres;state;action;
133;a person who attacks each other in football helmets;pres;interaction;appearance;
134;white football helmet;pres;attribute;spatial;
135;a person running in a football helmet;pres;action;appearance;
136;a running person in white stockings;pres;action;attribute;
137;an athlete wearing white stockings on the green field;pres;appearance;attribute;spatial
138;a soccer player with a soccer at his feet on the green field;pres;interaction;appearance;spatial
139;a tennis racket held by someone on the tennis court;pres;interaction;spatial;
140;a person who wears a hat and holds a tennis racket on the tennis court;pres;attribute;interaction;spatial
141;a person with tennis rackets and feet off the ground;pres;interaction;spatial;
142;a red table tennis racket held by someone;pres;attribute;interaction;
143;table tennis over the table;pres;action;spatial;
144;a person waving table tennis rackets at the table;pres;action;interaction;spatial
145;indoor volleyball flying in the air;pres;state;spatial;
146;the player who is ready to bat with both feet leaving the ground in the room;pres;state;spatial;interaction
147;indoor volleyball players with hands raised;pres;appearance;spatial;state
148;ski under the feet of a person;pres;spatial;interaction;
149;a person skiing;pres;action;;
150;a skier standing in the snow;pres;appearance;spatial;action
151;a person standing on the surfboard;pres;action;interaction;
152;a surfboard on the beach;pres;spatial;;
153;surfboard touched by human hands;pres;spatial;;
154;an upside-down gymnast;pres;state;appearance;
155;a gymnast who touches the bar;pres;appearance;interaction;
156;an athlete holding the rings with both hands;pres;appearance;interaction;
157;a smiling person on the swing;pres;spatial;action;
158;swing bench;pres;object;;
159;child on the swing;pres;spatial;;
160;a person jumping into the pool;pres;action;spatial;
161;a toy in the swimming pool;pres;spatial;;
162;a person who only shows the head in the pool;pres;spatial;attribute;
163;wild lioness;pres;object;;
164;a male lion with a mane;pres;attribute;;
165;a lion lying in the wild;pres;spatial;state;
166;parrot on human head;pres;spatial;interaction;
167;parrot eating;pres;action;spatial;
168;parrot on human shoulder;pres;spatial;interaction;
