text,category,justification
1: railings being crossed by horses,Animals - Horses,Depicts a specific animal activity – horses navigating a defined space.
2: a horse running or jumping,Animals - Horses,"Represents a dynamic animal action, highlighting movement and potential athleticism."
3: equestrian riders helmet,Equipment - Sports,Indicates protective gear associated with a sporting activity (equestrianism).
4: outdoor dog led by rope,Animals - Dogs,"Shows a domesticated animal under human guidance, typical of pet activities."
5: a dog being touched,Animals - Dogs,"Represents an interaction between a human and an animal, indicating affection or training."
6: clothed dog,Animals - Dogs,"Represents a domesticated animal wearing apparel, a common depiction of pets."
7: basketball in hand,Sports - Basketball,Shows the ball associated with the sport of basketball and a player’s grip.
8: a basketball player with both feet off the ground,Sports - Basketball,Highlights a key element of basketball – a player executing a jump shot.
9: player with basketball in the hand,Sports - Basketball,"Similar to 7, focuses on a basketball player holding the ball during a game."
10: spoon on the plate,Objects - Tableware,Represents a standard piece of tableware used for eating.
11: coffee cup with coffee,Objects - Beverages,Illustrates a common beverage container filled with coffee.
12: the nearest dessert to the coffee cup,Objects - Food,"Represents a food item positioned near a beverage, often a pairing."
13: the bartender who is mixing wine,People - Professions,Depicts a specific job role – a bartender preparing a drink.
14: a bartender in a suit,People - Professions,"Shows a professional bartender in formal attire, often associated with upscale establishments."
15: wine glass with wine,Objects - Beverages,"Represents a vessel containing wine, a commonly consumed alcoholic beverage."
16: a person in aprons,Kitchen Scene,"Focuses on a person engaged in food preparation, indicating a kitchen environment."
17: pot with food,Kitchen Scene,Represents a central element of a kitchen – cooking and a prepared dish.
18: a knife being used to cut vegetables,Kitchen Scene,Depicts an action associated with food preparation in a kitchen setting.
19: striped sofa in the room,Interior Scene,"Describes a furniture item within a room, classifying it as a general interior detail."
20: a sofa with pillows on it in the room,Interior Scene,"Similar to 19, it’s a piece of furniture in an interior space."
21: lights on in the room,Interior Scene,"Indicates illumination within an interior space, a key element of any room."
22: an indoor lying pet,Interior Scene,Represents an animal present within an indoor environment.
23: a cat on the sofa,Interior Scene,Specifically details a pet’s location and activity within a room.
24: one pet looking directly at the camera indoors,Interior Scene,"Highlights an animal’s gaze towards the viewer, still within an interior setting."
25: a bed with patterns in the room,Bedroom Scene,"Indicates a bed within a room, categorizing it as a bedroom feature."
26: the lamp on the table beside the bed,Bedroom Scene,Describes a lighting fixture within a bedroom context.
27: pillow placed at the head of the bed,Bedroom Scene,Specifies an element of a bed within a bedroom.
28: a blackboard full of words in the classroom,Classroom Scene,Shows a writing surface commonly found in educational settings.
29: a blackboard or whiteboard with something pasted,Classroom Scene,Another representation of a writing surface in a classroom.
30: child sitting at desks in the classroom,Classroom Scene,Depicts students engaged in learning within a classroom environment.
31: a person standing in front of bookshelves in the library,People in Library,"This refers to a typical scene within a library setting, depicting a human subject."
32: the table someone is using in the library,Library Furniture,This describes a functional object within a library environment – a table being utilized.
33: a person who touches books in the library,People Interacting with Objects,"This depicts a human interaction with a specific object, namely books, within the library."
34: a person standing in front of the cake counter,People in a Food Setting,"This describes a person in a space related to food, specifically a cake counter."
35: a square plate full of cakes,Food Item,This describes a specific food item – a plate covered in cakes.
