text,category,justification
1: railings being crossed by horses,Spatial,Describes the location and movement of the horses relative to the railings.
2: a horse running or jumping,Action,Highlights the dynamic movement of the horse.
3: equestrian riders helmet,Attribute,Specifies a characteristic feature of the rider.
4: outdoor dog led by rope,Spatial,Depicts the dog's position and its relationship to the rope.
5: a dog being touched,Action,Indicates an interaction involving the dog.
6: clothed dog,Attribute,Describes a detail of the dog’s appearance.
7: basketball in hand,Spatial,Shows the basketball’s location relative to the player’s hand.
8: a basketball player with both feet off the ground,Action,Captures the action and dynamic movement of the player.
9: player with basketball in the hand,Spatial,Indicates the basketball’s location relative to the player’s hand.
10: spoon on the plate,Spatial,Describes the spoon's position on the plate.
11: coffee cup with coffee,Spatial,Shows the coffee cup and coffee in relation to each other.
12: the nearest dessert to the coffee cup,Spatial,Describes the spatial relationship between the dessert and the coffee cup.
13: the bartender who is mixing wine,Action,Indicates the bartender's activity.
14: a bartender in a suit,Attribute,Details a feature of the bartender’s appearance.
15: wine glass with wine,Spatial,Shows the wine glass and wine in relation to each other.
16: a person in aprons,Person,Indicates a human subject wearing an apron.
17: pot with food,Object,Indicates a physical object containing food.
18: a knife being used to cut vegetables,Action,Indicates an action being performed with the knife.
19: striped sofa in the room,Object,Indicates a piece of furniture within the room.
20: a sofa with pillows on it in the room,Object,Indicates a piece of furniture with decorative elements within the room.
21: lights on in the room,Environment,Describes the lighting condition within the room.
22: an indoor lying pet,Animal,Indicates an animal in a resting position indoors.
23: a cat on the sofa,Animal,Indicates an animal situated on a piece of furniture.
24: one pet looking directly at the camera indoors,Animal,Indicates an animal positioned in front of a camera within an interior space.
25: a bed with patterns in the room,Furniture,Indicates a bed as a piece of furniture within the room.
26: the lamp on the table beside the bed,Object,Indicates a light source and a table within the room.
27: pillow placed at the head of the bed,Object,Indicates a bed accessory within the room.
28: a blackboard full of words in the classroom,Object,Indicates a surface covered with written content in a classroom setting.
29: a blackboard or whiteboard with something pasted,Object,Indicates a writing surface with added material in a classroom.
30: child sitting at desks in the classroom,Person,Indicates a human subject positioned at desks within a classroom.
31: a person standing in front of bookshelves in the library,Spatial,Indicates the person’s position relative to the bookshelves.
32: the table someone is using in the library,Spatial,Indicates the location of the table within the library setting.
33: a person who touches books in the library,Action,Indicates the action of the person interacting with the books.
34: a person standing in front of the cake counter,Spatial,Describes the person’s location relative to the cake counter.
35: a square plate full of cakes,Attribute,"Describes the shape and content of the plate, highlighting its fullness."
36: a cake decorated with cream,Attribute,Details the appearance of the cake through its decoration.
37: incomplete donut,Attribute,"Describes the state of the donut, focusing on its lack of completeness."
38: donut with colored granules on the surface,Attribute,Specifies the visual characteristics of the donut’s surface.
39: chocolate donut,Attribute,Identifies the type of donut based on its flavor.
40: hot dog with vegetables,Attribute,"Describes the contents of the hot dog, specifying the accompanying ingredients."
41: hot dog with sauce on the surface,Attribute,"Details the visual characteristics of the hot dog, focusing on the sauce."
42: red sausage,Attribute,Identifies the color of the sausage.
43: flowerpot with flowers potted inside,Spatial,Indicates the position of the flowers within the flowerpot.
44: monochrome flowerpot,Attribute,Describes the color scheme of the flowerpot.
45: a flowerpot filled with black soil,Attribute,"Details the contents of the flowerpot, specifying the soil color."
46: apple growing on trees,Spatial,Indicates the apple’s location and relationship to its surroundings.
47: red complete apple,Attribute,Highlights a key characteristic of the apple – its color and state.
